Date,Year,Ground,Opposition,Inns,Pos,Runs,BF,4s,6s,SR,Dismissal,NotOut
2008-08-18,2008,Dambulla,Sri Lanka,1.0,2.0,12.0,22.0,1.0,0.0,54.54,lbw,0
2008-08-20,2008,Dambulla,Sri Lanka,2.0,2.0,37.0,67.0,6.0,0.0,55.22,caught,0
2008-08-24,2008,Colombo (RPS),Sri Lanka,1.0,1.0,25.0,38.0,4.0,0.0,65.78,run out,0
2008-08-27,2008,Colombo (RPS),Sri Lanka,1.0,1.0,54.0,66.0,7.0,0.0,81.81,bowled,0
2008-08-29,2008,Colombo (RPS),Sri Lanka,2.0,1.0,31.0,46.0,3.0,1.0,67.39,lbw,0
2009-09-14,2009,Colombo (RPS),Sri Lanka,1.0,7.0,2.0,2.0,0.0,0.0,100.0,not out,1
2009-09-26,2009,Centurion,Pakistan,2.0,4.0,16.0,24.0,1.0,0.0,66.66,caught,0
2009-09-28,2009,Centurion,Australia,,,,,,,,-,0
2009-09-30,2009,Johannesburg,West Indies,2.0,4.0,79.0,104.0,9.0,2.0,75.96,not out,1
2009-10-25,2009,Vadodara,Australia,2.0,4.0,30.0,41.0,3.0,0.0,73.17,caught,0
2009-11-02,2009,Mohali,Australia,2.0,3.0,10.0,16.0,1.0,0.0,62.5,caught,0
2009-12-15,2009,Rajkot,Sri Lanka,1.0,7.0,27.0,19.0,4.0,0.0,142.1,bowled,0
2009-12-18,2009,Nagpur,Sri Lanka,1.0,4.0,54.0,65.0,7.0,0.0,83.07,lbw,0
2009-12-24,2009,Eden Gardens,Sri Lanka,2.0,4.0,107.0,114.0,11.0,1.0,93.85,caught,0
2009-12-27,2009,Delhi,Sri Lanka,,,,,,,,-,0
2010-01-05,2010,Mirpur,Sri Lanka,1.0,3.0,9.0,12.0,1.0,0.0,75.0,caught,0
2010-01-07,2010,Mirpur,Bangladesh,2.0,3.0,91.0,102.0,7.0,0.0,89.21,caught,0
2010-01-10,2010,Mirpur,Sri Lanka,2.0,3.0,71.0,68.0,9.0,0.0,104.41,not out,1
2010-01-11,2010,Mirpur,Bangladesh,2.0,3.0,102.0,95.0,11.0,0.0,107.36,not out,1
2010-01-13,2010,Mirpur,Sri Lanka,1.0,3.0,2.0,8.0,0.0,0.0,25.0,caught,0
2010-02-21,2010,Jaipur,South Africa,1.0,5.0,31.0,46.0,1.0,0.0,67.39,caught,0
2010-02-24,2010,Gwalior,South Africa,1.0,,,,,,,-,0
2010-02-27,2010,Ahmedabad,South Africa,2.0,3.0,57.0,71.0,4.0,1.0,80.28,caught,0
2010-05-28,2010,Bulawayo,Zimbabwe,1.0,3.0,0.0,0.0,0.0,0.0,,run out,0
2010-05-30,2010,Bulawayo,Sri Lanka,2.0,3.0,82.0,92.0,4.0,0.0,89.13,caught,0
2010-06-03,2010,Harare,Zimbabwe,1.0,3.0,18.0,29.0,1.0,0.0,62.06,caught,0
2010-06-05,2010,Harare,Sri Lanka,1.0,3.0,68.0,95.0,5.0,0.0,71.57,caught,0
2010-06-16,2010,Dambulla,Bangladesh,2.0,3.0,11.0,22.0,0.0,0.0,50.0,stumped,0
2010-06-19,2010,Dambulla,Pakistan,2.0,3.0,18.0,27.0,1.0,0.0,66.66,bowled,0
2010-06-22,2010,Dambulla,Sri Lanka,1.0,3.0,10.0,14.0,1.0,0.0,71.42,caught,0
2010-06-24,2010,Dambulla,Sri Lanka,1.0,3.0,28.0,34.0,4.0,0.0,82.35,caught,0
2010-08-16,2010,Dambulla,Sri Lanka,2.0,3.0,0.0,3.0,0.0,0.0,0.0,caught,0
2010-08-25,2010,Dambulla,New Zealand,1.0,3.0,8.0,16.0,1.0,0.0,50.0,caught,0
2010-08-28,2010,Dambulla,Sri Lanka,2.0,3.0,37.0,57.0,5.0,0.0,64.91,caught,0
2010-10-20,2010,Visakhapatnam,Australia,2.0,3.0,118.0,121.0,11.0,1.0,97.52,caught,0
2010-11-28,2010,Guwahati,New Zealand,1.0,3.0,105.0,104.0,10.0,0.0,100.96,caught,0
2010-12-01,2010,Jaipur,New Zealand,2.0,3.0,64.0,73.0,8.0,0.0,87.67,caught,0
2010-12-04,2010,Vadodara,New Zealand,2.0,3.0,63.0,70.0,6.0,2.0,90.0,not out,1
2010-12-07,2010,Bengaluru,New Zealand,2.0,3.0,0.0,2.0,0.0,0.0,0.0,caught,0
2010-12-10,2010,Chennai,New Zealand,2.0,3.0,2.0,8.0,0.0,0.0,25.0,caught,0
2011-01-12,2011,Durban,South Africa,2.0,3.0,54.0,70.0,2.0,1.0,77.14,caught,0
2011-01-15,2011,Johannesburg,South Africa,1.0,3.0,22.0,34.0,1.0,0.0,64.7,run out,0
