Date,Year,Ground,Opposition,Inns,Pos,Runs,BF,4s,6s,SR,Dismissal,NotOut
2007-06-23,2007,Belfast,Ireland,2.0,,,,,,,-,0
2007-06-26,2007,Belfast,South Africa,1.0,7.0,8.0,9.0,0.0,0.0,88.88,bowled,0
2007-10-05,2007,Hyderabad,Australia,2.0,7.0,1.0,4.0,0.0,0.0,25.0,caught,0
2007-11-18,2007,Jaipur,Pakistan,2.0,5.0,52.0,61.0,3.0,1.0,85.24,caught,0
2008-02-03,2008,Brisbane,Australia,1.0,4.0,29.0,43.0,5.0,0.0,67.44,caught,0
2008-02-05,2008,Brisbane,Sri Lanka,1.0,5.0,0.0,2.0,0.0,0.0,0.0,caught,0
2008-02-10,2008,Melbourne,Australia,2.0,6.0,39.0,61.0,2.0,0.0,63.93,not out,1
2008-02-12,2008,Canberra,Sri Lanka,1.0,4.0,70.0,64.0,6.0,1.0,109.37,not out,1
2008-02-17,2008,Adelaide,Australia,2.0,4.0,1.0,3.0,0.0,0.0,33.33,caught,0
2008-02-19,2008,Adelaide,Sri Lanka,2.0,4.0,24.0,36.0,1.0,0.0,66.66,caught,0
2008-02-24,2008,Sydney,Australia,2.0,4.0,1.0,3.0,0.0,0.0,33.33,caught,0
2008-02-26,2008,Hobart,Sri Lanka,2.0,5.0,3.0,7.0,0.0,0.0,42.85,not out,1
2008-03-02,2008,Sydney,Australia,2.0,5.0,66.0,87.0,6.0,0.0,75.86,bowled,0
2008-03-04,2008,Brisbane,Australia,1.0,6.0,2.0,5.0,0.0,0.0,40.0,caught,0
2008-06-10,2008,Mirpur,Pakistan,1.0,5.0,9.0,27.0,0.0,0.0,33.33,bowled,0
2008-06-12,2008,Mirpur,Bangladesh,2.0,3.0,26.0,43.0,1.0,1.0,60.46,caught,0
2008-06-14,2008,Mirpur,Pakistan,2.0,3.0,24.0,27.0,5.0,0.0,88.88,caught,0
2008-06-25,2008,Karachi,Hong Kong,1.0,3.0,11.0,29.0,0.0,0.0,37.93,run out,0
2008-06-26,2008,Karachi,Pakistan,2.0,6.0,0.0,1.0,0.0,0.0,0.0,not out,1
2008-06-28,2008,Karachi,Bangladesh,2.0,3.0,22.0,23.0,2.0,0.0,95.65,caught,0
2008-07-02,2008,Karachi,Pakistan,1.0,6.0,58.0,71.0,4.0,0.0,81.69,caught,0
2008-07-03,2008,Karachi,Sri Lanka,2.0,6.0,22.0,28.0,2.0,0.0,78.57,not out,1
2008-07-06,2008,Karachi,Sri Lanka,2.0,6.0,3.0,8.0,0.0,0.0,37.5,lbw,0
2008-08-18,2008,Dambulla,Sri Lanka,1.0,5.0,19.0,31.0,1.0,1.0,61.29,caught,0
2008-08-20,2008,Dambulla,Sri Lanka,2.0,6.0,0.0,2.0,0.0,0.0,0.0,lbw,0
2008-08-24,2008,Colombo (RPS),Sri Lanka,1.0,7.0,32.0,32.0,3.0,0.0,100.0,caught,0
2008-08-27,2008,Colombo (RPS),Sri Lanka,1.0,6.0,18.0,23.0,0.0,0.0,78.26,caught,0
2008-08-29,2008,Colombo (RPS),Sri Lanka,2.0,5.0,3.0,5.0,0.0,0.0,60.0,lbw,0
2008-11-14,2008,Rajkot,England,1.0,7.0,11.0,8.0,1.0,0.0,137.5,not out,1
2008-11-17,2008,Indore,England,1.0,4.0,3.0,13.0,0.0,0.0,23.07,caught,0
2008-11-20,2008,Kanpur,England,2.0,4.0,28.0,41.0,3.0,0.0,68.29,caught,0
2008-11-26,2008,Cuttack,England,2.0,6.0,8.0,10.0,1.0,0.0,80.0,not out,1
2009-01-28,2009,Dambulla,Sri Lanka,2.0,6.0,25.0,30.0,3.0,0.0,83.33,not out,1
2009-02-05,2009,Colombo (RPS),Sri Lanka,1.0,7.0,4.0,6.0,0.0,0.0,66.66,not out,1
2009-02-08,2009,Colombo (RPS),Sri Lanka,2.0,5.0,15.0,22.0,1.0,0.0,68.18,caught,0
2009-03-11,2009,Hamilton,New Zealand,2.0,,,,,,,-,0
2009-03-14,2009,Auckland,New Zealand,1.0,4.0,43.0,74.0,1.0,1.0,58.1,not out,1
2009-06-26,2009,Kingston,West Indies,1.0,3.0,4.0,12.0,0.0,0.0,33.33,caught,0
2009-06-28,2009,Kingston,West Indies,1.0,3.0,0.0,2.0,0.0,0.0,0.0,caught,0
2009-07-03,2009,Gros Islet,West Indies,2.0,5.0,11.0,9.0,0.0,0.0,122.22,caught,0
2009-07-05,2009,Gros Islet,West Indies,,,,,,,,-,0
2010-02-27,2010,Ahmedabad,South Africa,2.0,4.0,48.0,61.0,3.0,0.0,78.68,caught,0
2010-05-28,2010,Bulawayo,Zimbabwe,1.0,4.0,114.0,119.0,6.0,4.0,95.79,caught,0
2010-05-30,2010,Bulawayo,Sri Lanka,2.0,4.0,101.0,100.0,6.0,2.0,101.0,not out,1
2010-06-03,2010,Harare,Zimbabwe,1.0,4.0,13.0,25.0,0.0,0.0,52.0,run out,0
2010-06-05,2010,Harare,Sri Lanka,1.0,5.0,32.0,40.0,1.0,0.0,80.0,bowled,0
2010-06-16,2010,Dambulla,Bangladesh,2.0,4.0,0.0,1.0,0.0,0.0,0.0,lbw,0
2010-06-19,2010,Dambulla,Pakistan,2.0,5.0,22.0,24.0,2.0,0.0,91.66,lbw,0
2010-06-22,2010,Dambulla,Sri Lanka,1.0,4.0,69.0,73.0,7.0,0.0,94.52,run out,0
2010-06-24,2010,Dambulla,Sri Lanka,1.0,5.0,41.0,52.0,3.0,0.0,78.84,caught,0
2010-08-10,2010,Dambulla,New Zealand,2.0,3.0,4.0,11.0,0.0,0.0,36.36,caught,0
2010-08-16,2010,Dambulla,Sri Lanka,2.0,4.0,0.0,2.0,0.0,0.0,0.0,lbw,0
